Condition #,smiles,Control_PCE,PCE_difference,target_PCE,Doi
0,Cn1nnnc1S,19.2,1.3,20.5,https://doi.org/10.1038/s41467-018-06709-w
1,I.Nc1ccccc1,19.2,1.3,20.5,https://doi.org/10.1038/s41467-018-06709-w
2,NCC=Cc1ccccc1,17.37,4.61,21.98,https://doi.org/10.1002/adfm.201808119
3,CSCC[C@H](NC(=O)OCC1c2ccccc2c3ccccc13)C(O)=O,14.17,2.58,16.75,https://doi.org/10.1007/s10854-022-08435-y
4,c1ccncc1,13.34,1,14.34,https://doi.org/10.1021/acsaem.1c00767
5,Cc1ccncc1,13.34,2.15,15.49,https://doi.org/10.1021/acsaem.1c00767
6,CC(C)(C)c1ccncc1,13.34,3.69,17.03,https://doi.org/10.1021/acsaem.1c00767
7,OC(=O)c1c(F)c(F)c(F)c(F)c1C(O)=O,21.46,2.24,23.7,https://doi.org/10.1002/solr.202201025
8,[I-].NCCc1ccc(O)cc1,22.09,1.19,23.28,https://doi.org/10.1039/D1TA08984F
9,BrCc1cc(CBr)cc(CBr)c1,16.14,0.98,17.12,https://doi.org/10.1515/nanoph-2020-0634
10,c1ccc2c(c1)n(c3ccncc3)c4ccccc24,19.13,1.66,20.79,https://doi.org/10.1021/acsaem.2c03364
11,CN(C)CCCNC(=O)c1cc(c2ccccc2)c3ccc4c(cc(nc4c3n1)C(=O)NCCCN(C)C)c5ccccc5,18.7,2.28,20.98,https://doi.org/10.1002/solr.202200559
12,OC(=O)c1csc(Cl)n1,19.83,2.72,22.55,https://doi.org/10.1002/cssc.202202092
13,N#CCCC#N,18.4,1.9,20.3,https://doi.org/10.1016/j.jechem.2021.03.024
14,OC(=O)c1ccccc1,13.57,1.17,14.74,https://doi.org/10.1021/acs.jpcc.9b02621
15,OC(=O)c1ccc(cc1)C(O)=O,13.57,1,14.57,https://doi.org/10.1021/acs.jpcc.9b02621
16,OC(=O)c1cc(cc(c1)C(O)=O)C(O)=O,13.57,2.24,15.81,https://doi.org/10.1021/acs.jpcc.9b02621
17,NC(N)=NC#N,18.41,1.64,20.05,https://doi.org/10.1039/D2TC00283C
18,Cc1c(C[S](=O)c2[nH]c3ccccc3n2)nccc1OCC(F)(F)F,21.91,2.14,24.05,https://doi.org/10.1016/j.cej.2022.137416
19,FC(F)(F)[S](=O)(=O)N(c1ccccn1)[S](=O)(=O)C(F)(F)F,19.15,2.81,21.96,https://doi.org/10.1016/j.cej.2022.139345
20,FC(F)(F)[S](=O)(=O)N[S](=O)(=O)C(F)(F)F,19.15,0.99,20.14,https://doi.org/10.1016/j.cej.2022.139345
21,Nc1ccccn1,19.15,1.77,20.92,https://doi.org/10.1016/j.cej.2022.139345
22,OC(=O)c1cc(ccc1O)[S](O)(=O)=O,18.61,2.48,21.09,https://doi.org/10.1039/D1TA07505E
23,[OH-].CCCCCCCCCCCCCC[N+](C)(C)CCC[S](O)(=O)=O,19.34,2.73,22.07,https://doi.org/10.1016/j.joule.2020.09.011
24,[H-].[K+].OC(=O)c1ccc(cc1)[S](O)(=O)=O,20.31,2.35,22.66,https://doi.org/10.1007/s40843-022-2060-9
25,CN1C(=O)N(C)c2nc[nH]c2C1=O,21.02,2.46,23.48,DOI: 10.1126/science.aay9698
26,Cn1cnc2N(C)C(=O)NC(=O)c12,21.02,-0.78,20.24,DOI: 10.1126/science.aay9698
27,O=[P](c1ccccc1)(c2ccccc2)c3ccccc3,18.05,1.05,19.1,DOI:10.1002/adfm.201910710
28,CC(C)O[P](=O)(C[P](=O)(OC(C)C)OC(C)C)OC(C)C,18.05,1.08,19.13,DOI:10.1002/adfm.201910710
29,Fc1c(F)c(F)c(P(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c1F,18.05,2.99,21.04,DOI:10.1002/adfm.201910710
30,CC(N)C1CCCCC1,18.05,3.48,21.53,https://doi.org/10.1021/acsaem.1c02536
31,Brc1ccc2ccccc2c1,21.52,1.85,23.37,https://doi.org/10.1002/adma.202202301
32,[Na+].Cc1ccc(cc1)[S]([O-])(=O)=O,18.7,1.35,20.05,https://doi.org/10.1002/solr.202000376
33,[Na].CCCCCCCCCCCCO[S](=O)(=O)c1ccccc1,15.23,1.78,17.01,https://doi.org/10.1021/acsami.2c12944
34,Nc1cc2cccnc2c3ncccc13,19.05,2.5,21.55,https://doi.org/10.1002/adfm.202200534
35,OC(=O)C(=Cc1sc(cc1)c2ccccc2)C#N,18.19,0.29,18.48,https://doi.org/10.1002/aenm.201803766
36,CCCCOc1ccc(cc1)c2sc(cc2)C=C(C#N)C(O)=O,18.19,0.72,18.91,https://doi.org/10.1002/aenm.201803766
37,CCCCN(CCCC)c1ccc(cc1)c2sc(cc2)C=C(C#N)C(O)=O,18.19,1.9,20.09,https://doi.org/10.1002/aenm.201803766
38,Cn1cnc2N(C)C(=O)N(C)C(=O)c12,17.59,2.66,20.25,DOI: 10.1126/science.aay9698
39,N#Cc1ccc(cc1)C#N,20.22,-0.16,20.06,DOI:?10.1021/acsami.9b15166
